"Code de categorie";"Designation";"Agence";"Famille de categorie";"num_serie_materiels";"quantite_materiels";"designation_comp";"num_serie_composant"
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"7043933321";"1";"Cliveuse";"CC 1082016268";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"7043933321";"1";"batterie";"052203206F";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"7043933321";"1";"chargeur";"014040422";
"OU6010602";"Comway A4";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"9";"1";"";"";
"OU6030604";"COMWAY C10S";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"10";"1";"";"";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"OU6030604";"COMWAY C10S";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"12406721469";"1";"Cliveuse";"109";
"OU6030604";"COMWAY C10S";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"12406721469";"1";"Batterie";"032006125F";
"OU6030604";"COMWAY C10S";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"12406721469";"1";"chargeur";"ADC022006216";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13401826318";"1";"chargeur";"ADC022101111";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13401826318";"1";"Cliveuse";"CC 1092008012";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13401826318";"1";"batterie";"032101113F";
"OU6030604";"COMWAY C10S";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"13402826408";"1";"chargeur";"ADC022101162";
"OU6030604";"COMWAY C10S";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"13402826408";"1";"Cliveuse";"1092007472";
"OU6030604";"COMWAY C10S";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"13402826408";"1";"Batterie";"032101171F";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13408829544";"1";"Cliveuse";"CC 1092009716";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13408829544";"1";"batterie";"032108080F";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13408829544";"1";"chargeur";"ADC0022109193";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13408829547";"1";"chargeur";"CC 1092007067";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13408829547";"1";"Cliveuse";"ADC022108065";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13408829547";"1";"batterie";"032108072F";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13408829548";"1";"chargeur";"ADC022108051";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13408829548";"1";"Cliveuse";"CC1092009709";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13408829548";"1";"Batterie";"032108083F";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830461";"1";"chargeur";"ADC022110116";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830461";"1";"Cliveuse";"CC 1092010151";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830461";"1";"batterie";"03211029F";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13410830463";"1";"Cliveuse";"1092010168";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13410830463";"1";"batterie";"03211033F";
"OU6030604";"COMWAY C10S";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"13410830463";"1";"chargeur";"ADC022110108";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830465";"1";"chargeur";"ADC0022110081";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830465";"1";"Cliveuse";"CC 1092010133";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830465";"1";"Batterie";"03211032F";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830466";"1";"Cliveuse";"CC 1092010129";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830466";"1";"batterie";"03211045F";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830466";"1";"chargeur";"ADC022109234";
